modelYear,bt,mileage,transmission,model,variantName,ft,km,price
0.7894736842105203,2,0.5939933259176864,1,160,1806,4,0.0218181818181818,0.03964983127587
0.8684210526315752,7,0.367816091954023,1,50,288,4,0.0059465454545454,0.0825524312047415
0.8684210526315752,2,0.621431219873934,1,273,129,4,0.0021725454545454,0.0589612205382574
0.7631578947368425,8,0.4456803856136449,1,87,101,4,0.0032352727272727,0.0461217563259674
0.7894736842105203,7,0.6143863552094921,1,178,987,1,0.0109090909090909,0.0803603275587408
0.8421052631578902,2,0.5024100852799407,1,37,1684,4,0.0068676363636363,0.0339086074411062
0.94736842105263,7,0.4104560622914349,0,85,1581,4,0.0054545454545454,0.1231585415997074
0.8684210526315752,8,0.4894327030033371,0,163,834,4,0.0067272727272727,0.0981059285025562
0.8421052631578902,2,0.621431219873934,1,273,133,4,0.0021725454545454,0.0589612205382574
0.8684210526315752,2,0.5309603262884688,1,157,85,4,0.009090909090909,0.0699217387682611
0.8947368421052602,2,0.4382647385984428,0,77,107,4,0.004524909090909,0.0690866516650227
0.8684210526315752,2,0.4123099740452354,0,66,1794,4,0.0041818181818181,0.0840138336354087
0.8684210526315752,2,0.621431219873934,0,273,134,4,0.008896,0.0600050794173054
0.7631578947368425,7,0.2973674453096033,1,147,1876,1,0.0197930909090909,0.0699217387682611
0.8684210526315752,7,0.3715239154616241,1,101,473,1,0.0145454545454545,0.1388164247854269
0.7631578947368425,2,0.5261401557285874,1,90,852,1,0.0118865454545454,0.0522805237123504
0.973684210526315,7,0.3800519095291064,1,265,1926,4,0.0018181818181818,0.1028032934582721
0.8157894736842053,8,0.3974786800148314,1,63,2099,4,0.0121818181818181,0.0787945392401688
0.8157894736842053,2,0.5672969966629589,1,179,1806,4,0.0032878181818181,0.058648062874543
0.9210526315789452,7,0.346310715609937,1,236,1453,4,0.0054545454545454,0.1116760939301798
0.8157894736842053,2,0.621431219873934,1,273,129,4,0.010478909090909,0.0455998268864435
0.7894736842105203,8,0.3826473859844271,1,63,2099,4,0.02,0.0553077144615896
0.8684210526315752,2,0.4901742677048573,0,81,1646,4,0.0042630909090909,0.0573954322196855
0.6315789473684177,2,0.2361883574341861,1,82,1144,3,0.0054545454545454,0.0208603714530066
0.7631578947368425,7,0.2973674453096033,1,147,1876,1,0.0159394545454545,0.0877717255999813
0.7631578947368425,7,0.2973674453096033,1,147,1887,1,0.0143658181818181,0.0817173441015031
0.8684210526315752,8,0.4842417500926957,1,87,166,4,0.009090909090909,0.0682515645617844
0.7894736842105203,2,0.4979606970708195,1,184,1823,4,0.0022607272727272,0.0343261509927254
0.8947368421052602,4,0.4545791620318873,1,165,2068,4,0.0109090909090909,0.1075006584139879
0.7894736842105203,2,0.4979606970708195,1,184,1823,4,0.0074521818181818,0.0402761466032988
0.6842105263157876,7,0.1638857990359659,1,285,640,1,0.0218181818181818,0.1127199528092278
0.9210526315789452,7,0.4742306266221729,0,236,1467,1,0.0072727272727272,0.1127199528092278
0.8157894736842053,2,0.4271412680756397,1,90,1643,4,0.0163030909090909,0.0599006935294006
0.8421052631578902,2,0.5732295142751205,1,90,863,1,0.0218181818181818,0.072009456526357
0.8421052631578902,2,0.5309603262884688,1,157,175,4,0.0103630909090909,0.0701305105440707
0.7368421052631575,8,0.3418613274008158,1,75,1548,4,0.0218181818181818,0.0657463032520692
0.94736842105263,2,0.5550611790878754,1,155,1845,4,0.0034245454545454,0.0407980760428228
0.6578947368421026,7,0.1842788283277716,1,138,1537,1,0.0218181818181818,0.0657463032520692
0.8947368421052602,2,0.621431219873934,1,273,1963,4,0.0110785454545454,0.0615708677358774
0.9210526315789452,7,0.3492769744160178,0,107,1163,4,0.006098,0.1727418383544859
0.8684210526315752,2,0.621431219873934,1,273,133,4,0.0121521818181818,0.0532199967034936
0.6052631578947327,2,0.467927326659251,1,154,1290,4,0.0109090909090909,0.0239919480901505
0.8947368421052602,2,0.4271412680756397,1,90,1353,4,0.0080518181818181,0.072531385965881
0.8684210526315752,2,0.4382647385984428,1,77,92,4,0.0066790909090909,0.0631366560544493
0.6578947368421026,7,0.1842788283277716,1,138,1539,1,0.0218181818181818,0.0657463032520692
0.973684210526315,2,0.5532072673340749,0,238,24,4,0.0018181818181818,0.0553077144615896
0.8684210526315752,7,0.5346681497960697,1,265,297,1,0.0097536363636363,0.0840138336354087
0.5526315789473628,2,0.3047830923248054,1,76,1140,4,0.0181818181818181,0.0208603714530066
0.7631578947368425,2,0.7267334074898035,0,160,1814,4,0.009814909090909,0.0425726361372044
0.7631578947368425,8,0.521319985168706,1,249,324,1,0.02,0.0704436682077851
0.8947368421052602,7,0.3270300333704116,1,50,286,4,0.006862,0.0949743518654123
0.94736842105263,2,0.5550611790878754,1,155,1845,4,0.0031576363636363,0.0453910551106339
0.8421052631578902,7,0.4668149796069709,1,73,376,1,0.017090909090909,0.1226366121601835
0.7631578947368425,2,0.5672969966629589,1,179,1806,4,0.0099274545454545,0.0440340385678715
0.8684210526315752,2,0.7905079718205414,1,179,1764,1,0.02,0.0699217387682611
0.8421052631578902,2,0.5939933259176864,1,160,2055,4,0.0116363636363636,0.0500884200663497
0.7894736842105203,8,0.7093066370040788,1,163,1770,1,0.0181818181818181,0.0657463032520692
0.8157894736842053,2,0.4419725621060438,0,66,160,4,0.008028,0.0539506979188272
0.8157894736842053,4,0.478309232480534,1,240,462,1,0.0127272727272727,0.0761848920425489
0.8421052631578902,2,0.621431219873934,1,273,127,4,0.0123707272727272,0.0467480716533962
0.7631578947368425,2,0.4234334445680386,1,175,1847,4,0.0109090909090909,0.041737549033966
0.7631578947368425,2,0.4234334445680386,1,175,1847,4,0.0109090909090909,0.041737549033966
0.94736842105263,2,0.4790507971820542,1,90,871,4,0.0018181818181818,0.0939304929863643
0.7368421052631575,8,0.360400444938821,1,63,1754,4,0.0090678181818181,0.053533154367208
0.7368421052631575,2,0.375231738969225,0,300,1156,4,0.0163636363636363,0.0866234808330286
0.8421052631578902,8,0.5209492028179459,1,249,322,1,0.0089018181818181,0.0762892779304537
0.7631578947368425,2,0.6273637374860959,1,77,928,1,0.0127272727272727,0.0383972006210125
0.7368421052631575,2,0.4234334445680386,1,90,1643,4,0.0123636363636363,0.0490445611873018
0.8157894736842053,7,0.6763070077864295,1,133,2121,1,0.004184909090909,0.0494621047389209
0.7368421052631575,2,0.5261401557285874,1,90,852,1,0.015090909090909,0.0526980672639696
0.8684210526315752,2,0.4979606970708195,1,184,1846,4,0.011298,0.0553077144615896
0.7368421052631575,2,0.4493882091212458,1,89,1348,3,0.0134545454545454,0.0359963251992022
0.8157894736842053,2,0.628846866889136,0,238,2,4,0.0048181818181818,0.041737549033966
0.973684210526315,7,0.367816091954023,0,146,1877,4,0.0018181818181818,0.1075006584139879
0.7368421052631575,2,0.4568038561364479,1,61,1504,4,0.006944909090909,0.0390235159484413
0.8421052631578902,2,0.4627363737486096,0,157,2077,4,0.0041818181818181,0.073575244844929
0.7368421052631575,2,0.5131627734519839,1,156,1268,4,0.009090909090909,0.0229480892111026
0.973684210526315,7,0.4430849091583241,0,239,1469,4,0.0018181818181818,0.0850576925144566
0.8947368421052602,2,0.4382647385984428,1,77,92,4,0.0034545454545454,0.0704436682077851
0.9210526315789452,7,0.3492769744160178,0,107,1163,4,0.0025454545454545,0.1779611327497257
0.7631578947368425,2,0.5198368557656656,1,74,1352,4,0.0053214545454545,0.0323428191225343
0.8947368421052602,8,0.4119391916944754,0,305,155,4,0.0036363636363636,0.1012375051397001
0.8684210526315752,8,0.3715239154616241,1,295,1125,4,0.0054545454545454,0.0761848920425489
0.8684210526315752,2,0.4419725621060438,0,66,160,4,0.0117043636363636,0.0767068214820729
0.94736842105263,7,0.3830181683351872,1,122,1610,1,0.0054545454545454,0.1805707799473456
0.6578947368421026,2,0.4720059325176122,1,89,1098,4,0.0079416363636363,0.0261840517361513
0.8684210526315752,7,0.2862439747868002,0,73,399,4,0.0072727272727272,0.1315094126320912
0.7105263157894726,2,0.5732295142751205,1,90,1099,1,0.007374909090909,0.0434077232404427
0.94736842105263,7,0.4488783430714961,0,73,1574,4,0.0048181818181818,0.1727418383544859
